2025-02-21 03:40:31,791 - INFO - 開始下載 M3U 檔案: https://raw.githubusercontent.com/WaykeYu/iptv_integ/refs/heads/main/merge.m3u
2025-02-21 03:40:31,902 - INFO - 檔案已成功下載並保存到 ./merge.m3u
2025-02-21 03:40:31,902 - INFO - 開始去除重複頻道並排序...
2025-02-21 03:40:31,903 - INFO - 已去除重複頻道並排序，結果保存到 ./merge.m3u
2025-02-21 03:40:31,903 - INFO - 開始檢查頻道有效性...
2025-02-21 03:40:32,862 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH27 空中聖經學院 (720p) [Not 24/7]
2025-02-21 03:40:32,875 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH16 葉光明 (720p) [Not 24/7]
2025-02-21 03:40:32,910 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH18 國際講員 (720p) [Not 24/7]
2025-02-21 03:40:32,935 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH15 真情之夜 (720p)
2025-02-21 03:40:32,936 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH12 維他命施 (720p)
2025-02-21 03:40:32,969 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH21 華語講員 (720p) [Not 24/7]
2025-02-21 03:40:32,988 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH20 恩典時分 (720p) [Not 24/7]
2025-02-21 03:40:33,138 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH14 真情部落格 (720p) [Not 24/7]
2025-02-21 03:40:33,145 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH17 大衛鮑森 (720p) [Not 24/7]
2025-02-21 03:40:33,160 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH24 劉三講古 (720p) [Not 24/7]
2025-02-21 03:40:33,833 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH28 現代詩歌 (720p) [Not 24/7]
2025-02-21 03:40:33,936 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH3 真情部落格 短版 (720p)
2025-02-21 03:40:33,952 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH29 經典音樂河 (720p) [Not 24/7]
2025-02-21 03:40:34,019 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH31 福音佈道音樂會 (720p)
2025-02-21 03:40:34,112 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH33 特會系列：研經培靈 (720p)
2025-02-21 03:40:34,127 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH32 特會系列：禱告與轉化 (720p) [Not 24/7]
2025-02-21 03:40:34,258 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH40 家庭8點檔轉轉發現愛 (720p) [Not 24/7]
2025-02-21 03:40:34,280 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH30 天堂敬拜 (720p) [Not 24/7]
2025-02-21 03:40:34,370 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH45 卡通 (720p) [Not 24/7]
2025-02-21 03:40:34,378 - INFO - 有效頻道: #EXTINF:-1 tvg-id="" tvg-logo="" group-title="Undefined",GOOD TV CH38 特會系列：青年特會 (720p) [Not 24/7]
